Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,94.35,112.60,135.16,157.02,180.08,204.11,219.90,237.40,253.39,277.78,301.37,344.63,387.29,452.75,504.42,552.88,632.32,698.16,730.00,808.64,885.58,975.36,1002.33,1058.98,1112.43,1090.68,1122.48,1144.49,1166.29
United States,MtCO2e,164.71,154.31,157.31,160.57,165.51,187.54,197.28,198.51,209.71,206.14,208.70,192.09,202.07,191.49,199.03,204.42,208.39,221.72,208.91,190.55,204.59,217.00,210.15,209.35,219.36,221.22,222.02,227.96,233.91
India,MtCO2e,26.45,29.00,30.06,31.90,34.29,37.75,41.94,46.36,49.88,55.60,57.49,59.21,63.09,66.10,68.61,72.54,76.40,81.15,86.19,98.63,105.42,111.41,117.19,120.95,125.52,130.19,130.61,130.52,148.54
Saudi Arabia,MtCO2e,6.47,6.55,8.85,9.23,9.48,10.24,12.01,12.97,14.61,16.32,18.63,20.49,22.44,23.52,24.36,24.84,28.13,32.35,38.97,43.21,46.45,53.11,61.47,69.64,76.59,81.73,88.21,90.61,96.75
South Korea,MtCO2e,18.73,20.51,25.37,29.59,32.67,35.14,38.08,42.67,38.85,42.60,46.54,49.01,51.74,57.57,60.19,57.22,59.11,55.04,57.17,58.01,60.93,62.23,63.53,64.45,66.09,68.40,72.45,75.14,77.85
Thailand,MtCO2e,7.95,8.12,9.91,12.24,13.73,16.06,18.53,18.66,13.36,15.30,16.19,17.51,19.42,20.08,21.67,22.91,24.60,24.07,23.69,25.84,25.03,29.28,33.07,38.38,41.62,45.64,55.44,63.67,71.90
Japan,MtCO2e,73.30,76.99,79.54,79.83,84.71,90.66,93.17,91.26,84.17,75.25,75.16,65.28,59.63,58.83,54.94,54.71,56.95,56.19,55.27,52.02,53.32,56.10,59.80,63.76,67.62,70.38,73.75,71.59,67.97
Cameroon,MtCO2e,0.74,0.68,0.69,0.67,56.32,56.32,56.27,56.44,56.54,56.63,56.70,56.73,56.72,56.72,56.76,56.75,56.83,56.98,57.01,57.14,57.19,57.44,57.68,57.93,58.09,58.40,59.03,59.26,59.49
Russia,MtCO2e,57.34,56.62,75.03,59.25,49.89,49.71,42.45,44.50,47.26,49.30,55.84,54.55,48.67,44.74,50.96,53.69,53.37,54.91,51.31,41.40,45.69,45.99,53.76,59.12,61.00,56.25,55.27,54.91,54.58
Turkey,MtCO2e,12.76,14.33,15.52,14.94,15.37,16.24,16.81,17.34,17.58,16.84,17.42,17.32,18.05,18.75,20.25,22.45,25.35,27.21,29.20,31.35,35.63,37.46,38.18,40.88,42.12,41.00,43.53,45.71,47.91
